Book,Author(s),Original language,First published,Genre,Approximate sales,Subjects,Book_Type,Book word common for the dataset,From top 200 words,Majority_Book_Type,Raw Subjects
Persepolis,"Marjane Satrapi, Mattias Ripa",eng,2000,['genre fiction'],298,"age, art, aspects, author, biography, bestseller, biography, civilization, comics, comics, coming, conditions, customs, family, for, girls, graphic, history, life, long, manners, manual, narratives, new, novel, now, people, pictorial, psychology, relationships, social, comics, youth, times, war, women, works, world, american, youth",Non-fiction,new york times bestseller,"age, art, aspects, authors, autobiography, bestseller, biography, civilization, comic, comics, coming, conditions, customs, families, for, girls, graphic, history, life, long, manners, manual, narratives, new, novels, now, personal, pictorial, psychological, relationships, social, strips, teenage, times, war, women, works, world, york, youth",Fiction,"Comic books, strips, etc., Emigration and immigration -- Psychological aspects, Families, Girls, Graphic novels, History, Iran-Iraq War, Islamic fundamentalism, Personal narratives, Revolution, 1979, Social conditions, Teenage girls, Long Now Manual for Civilization, Basic reader, Revolution (Iran : 1979) fast (OCoLC)fst01354530, Erwachsenwerden, Cartoons and comics, COMICS & GRAPHIC NOVELS / Nonfiction, Psychological aspects, Emigration and immigration, BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs, Islamiska revolutionen 1979, Biography, Cartoonists, Tecknade serier, Iran, Historia, BIOGRAPHY & AUTOBIOGRAPHY / Women, Foreign countries, Iranians, Comic books, strips, Women illustrators, Iranian Women authors, Personal Memoirs, Nonfiction, BIOGRAPHY & AUTOBIOGRAPHY, COMICS & GRAPHIC NOVELS, Women, Comics & graphic novels, nonfiction, general, Iran, biography, Women, biography, nyt:paperback-graphic-books=2009-09-13, New York Times bestseller, Chauvinism and jingoism, War, Practical Politics, Politics and government, Social life and customs, Coming of age, 15.75 history of Asia, Manners and customs, Islam, Iran-Iraq War, 1980-1988, Art, Authors, biography, Girls, biography, Nonfiction graphic novels, Pictorial works, Niñez y juventud, Childhood and youth, Muñequitos, tiras cómicas, Comics & graphic novels, nonfiction, biography & memoir, nyt:paperback-graphic-books=2013-02-03, Fiction, Teens - biography, Teens - life & relationships, Graphic novels & comic books, Women's biography, Peoples & cultures - biography, World literature, Regional studies, Biografía, Ilustradoras, Autoras iranias, Bandes dessinées, Comic books, strips, etc, Autobiographical comic books, strips, Documentary comic books, strips"
Persepolis,"Marjane Satrapi, Mattias Ripa",eng,2000,['genre fiction'],298,"age, art, aspects, author, biography, bestseller, biography, civilization, comics, comics, coming, conditions, customs, family, for, girls, graphic, history, life, long, manners, manual, narratives, new, novel, now, people, pictorial, psychology, relationships, social, comics, youth, times, war, women, works, world, american, youth",Non-fiction,new york times bestseller,"age, art, aspects, authors, autobiography, bestseller, biography, civilization, comic, comics, coming, conditions, customs, families, for, girls, graphic, history, life, long, manners, manual, narratives, new, novels, now, personal, pictorial, psychological, relationships, social, strips, teenage, times, war, women, works, world, york, youth",Fiction,"Comic books, strips, etc., Emigration and immigration -- Psychological aspects, Families, Girls, Graphic novels, History, Iran-Iraq War, Islamic fundamentalism, Personal narratives, Revolution, 1979, Social conditions, Teenage girls, Long Now Manual for Civilization, Basic reader, Revolution (Iran : 1979) fast (OCoLC)fst01354530, Erwachsenwerden, Cartoons and comics, COMICS & GRAPHIC NOVELS / Nonfiction, Psychological aspects, Emigration and immigration, BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs, Islamiska revolutionen 1979, Biography, Cartoonists, Tecknade serier, Iran, Historia, BIOGRAPHY & AUTOBIOGRAPHY / Women, Foreign countries, Iranians, Comic books, strips, Women illustrators, Iranian Women authors, Personal Memoirs, Nonfiction, BIOGRAPHY & AUTOBIOGRAPHY, COMICS & GRAPHIC NOVELS, Women, Comics & graphic novels, nonfiction, general, Iran, biography, Women, biography, nyt:paperback-graphic-books=2009-09-13, New York Times bestseller, Chauvinism and jingoism, War, Practical Politics, Politics and government, Social life and customs, Coming of age, 15.75 history of Asia, Manners and customs, Islam, Iran-Iraq War, 1980-1988, Art, Authors, biography, Girls, biography, Nonfiction graphic novels, Pictorial works, Niñez y juventud, Childhood and youth, Muñequitos, tiras cómicas, Comics & graphic novels, nonfiction, biography & memoir, nyt:paperback-graphic-books=2013-02-03, Fiction, Teens - biography, Teens - life & relationships, Graphic novels & comic books, Women's biography, Peoples & cultures - biography, World literature, Regional studies, Biografía, Ilustradoras, Autoras iranias, Bandes dessinées, Comic books, strips, etc, Autobiographical comic books, strips, Documentary comic books, strips"
A Room with a View,E.M. Forster,eng,1908,['genre fiction'],298,"author, british, british, chinese, classic, classic, customs, british, english, femmes, fiction, great, history, humor, irish, language, large, life, love, novel, novel, one, psychology, romance, roman, social, spanish, stories, travel, type, travel, women, works, youth",Fiction,large type books,"author, britain, british, chinese, classic, classics, customs, england, english, femmes, fictional, great, historical, humorous, irish, language, large, life, love, nouvelles, novels, one, psychological, romance, romans, social, spanish, stories, travel, type, voyages, women, works, young",Fiction,"British, Fiction, Young women, British in fiction, England in fiction, Travel, Young women in fiction, love, romance, Movie novels, Historical fiction, British and irish fiction (fictional works by one author), Large type books, Young women, fiction, Fiction, humorous, general, Italy, fiction, Great britain, fiction, Fiction, romance, general, British Travel Association, England, fiction, Classic Literature, Fiction, humorous, Forster, e. m. (edward morgan), 1879-1970, Korean, Dictionaries, English language, Spanish, Chinese, Social life and customs, English Love stories, Classics, Britanniques, Romans, nouvelles, Voyages, Jeunes femmes, Fiction, psychological, Fiction, general"
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,en-US,2010,['genre fiction'],296,"adult, children, customs, family, girls, youth, life, education, social, themes, women, youth",Fiction,childrens fiction,"adult, childrens, customs, family, girls, juvenile, life, schools, social, themes, women, young",Fiction,"Emotional problems, Family problems, Sex, Self-perception, Dating (Social customs), High schools, Schools, Fiction, Family crises, Juvenile fiction, Emotional problems of teenagers, YOUNG ADULT FICTION, Girls & Women, Self-Esteem & Self-Reliance, Social Themes, Dating & Sex, Children's fiction, Family life, fiction, Dating (social customs), fiction, Sex, fiction, Self-perception, fiction, Schools, fiction, Emotions, fiction"
Lock and Key,Sarah Dessen,eng,2008,['nonfiction'],296,"adult, children, children, children, family, family, friendship, relationships, youth, life, psychology, relationships, family, social, youth",Fiction,childrens fiction,"adult, child, children, childrens, families, family, friendship, interpersonal, juvenile, life, psychology, relations, sisters, social, young",Non-Fiction,"Child abuse, Families, Family, Emotional problems, Juvenile fiction, Abandoned children, Young Adult Fiction, Fiction, Interpersonal relations, Self-actualization (Psychology), Wealth, Family life, Self-realization, Sisters, Friendship, Social workers, Children's fiction, Abandoned children, fiction, Family, fiction, Child abuse, fiction, Emotions, fiction, Interpersonal relations, fiction"
Naked in Death,J.D. Robb,en-US,1995,['genre fiction'],295,"american, century, character, death, detective, fiction, large, love, crime, mystery, new, novel, romance, roman, stories, crime, type, women, american",Fiction,large type books,"american, century, character, death, detective, fictitious, large, love, murder, mystery, new, nouvelles, romance, romans, stories, suspense, type, women, york",Fiction,"Fiction, In Death Series, Eve Dallas (Fictitious character), Policewomen, Billionaires, Women detectives, Murder, Twenty-first century, Investigation, Love stories, American, Dallas, eve (fictitious character), fiction, Fiction, mystery & detective, police procedural, New york (n.y.), fiction, Policewomen, fiction, Fiction, mystery & detective, women sleuths, Fiction, romance, suspense, Large type books, Police, Dallas, Eve (Personnage fictif), Romans, nouvelles, Inspectrices de police, Meurtre, Enquêtes, Crimes contre les chirurgiens plasticiens, Crimes contre les mères"
The Chamber,John Grisham,eng,1994,['genre fiction'],295,"accessible, book, character, civilization, daisy, death, fiction, large, mystery, novel, novel, private, roman, stories, thriller, type",Fiction,large type books,"accessible, book, character, civil, daisy, death, fictitious, large, mystery, nouvelles, novela, protected, romans, stories, thriller, type",Fiction,"alcoholism, loyalty oaths, pardons, governors, trials, FBI, capital punishment, gas chambers, pro bono publico, law firms, legal fiction, thriller fiction, Mystery, Ligues des droits de l'homme, Literature, Condamnés à mort, Ku Klux Klan, Attentats à la bombe, Romans, nouvelles, Thriller, Ku Klux Klan (1915- ), Fiction, Civil rights movements, Bombings, Death row inmates, Legal stories, Ku Klux Klan (1915- ) -- Fiction., Bombings -- Mississippi -- Greenville -- Fiction., Death row inmates -- Mississippi -- Fiction., Civil rights movements -- Mississippi -- Fiction., Greenville (Miss.) -- Fiction., Large type books, Fiction, legal, Accessible book, Protected DAISY, Novela, Bombardeos, Reclusos condenados a muerte, Derechos civiles, Movimientos, Mouvements des droits de l'homme, Hall, adam (fictitious character), fiction, Mississippi, fiction"
Midnight Sun (Partial Draft),Stephenie Meyer,eng,2008,['genre fiction'],293,,Unknown,,,Fiction,
NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ,"Masashi Kishimoto, Katy Bridges",eng,1999,['nonfiction'],291,,Unknown,,,Non-Fiction,
The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,eng,2012,['genre fiction'],290,"british, humor, large, married, men, new, people, reviewed, roman, chinese, times, type, chinese, american",Fiction,large type books,"england, humorous, large, married, men, new, people, reviewed, roman, shuo, times, type, xiao, york",Fiction,"Pilgrimage, Walking, Men, Fiction, Letters, Humorous fiction, Self-acceptance, Roman, Englisch, Married people, fiction, Fiction, humorous, general, England, fiction, Fiction, humorous, Large type books, New York Times reviewed, Middle-aged men, Redemption, Littérature anglaise, Pensionärer, Brev, Cancer, Döden, Personlig utveckling, Chang pian xiao shuo"
Every Day,David Levithan,eng,2012,['genre fiction'],288,"author, british, british, classic, customs, british, english, fiction, great, history, irish, life, manners, one, short, single, social, stories, works",Fiction,historical,"author, britain, british, classic, customs, england, english, fictional, great, historical, irish, life, manners, one, short, single, social, stories, works",Fiction,"Social life and customs, Fiction, Classic Literature, British and irish fiction (fictional works by one author), England, fiction, London (england), fiction, Fiction, historical, general, Great britain, social life and customs, fiction, Manners and customs, Fiction, short stories (single author), English literature, English fiction"
Xenocide,Orson Scott Card,eng,1991,['genre fiction'],285,"action, adventure, character, epic, fantasy, fiction, fantasy, education, life, military, place, reading, science",Fiction,fantasy,"action, adventure, character, epic, fantasy, fictitious, imaginary, levelgrade, life, military, place, reading, science",Fiction,"Space warfare, Fiction, Fiction, science fiction, hard science fiction, Fiction, fantasy, epic, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Wiggin, ender (fictitious character), fiction, Lusitania (imaginary place), fiction, Fiction, science fiction, general, Life on other planets, FICTION / Science Fiction / Action & Adventure, FICTION / Science Fiction / Military, FICTION / Science Fiction / Space Opera, Viruses, Science fiction"
